Month,Date,Incident
Jan-2024,January - 1,"Daily Excelsior on January 1 reported that Jammu and Kashmir Police has announced cash rewards for the people who will provide information & intelligence on trans-border tunnels, terror activities and terrorists. “Provide information and intelligence
Read more... Daily Excelsior on January 1 reported that Jammu and Kashmir Police has announced cash rewards for the people who will provide information & intelligence on trans-border tunnels, terror activities and terrorists. “Provide information and intelligence on trans-border tunnels, drones, narcotics, terror activities and terrorists and receive cash rewards”, police said in a statement. It said the “general public can share such information with district Senior Superintendents of Police and the identity of the person will be kept secret.” A reward of “Rs 5 lakh [INR 500,000] would be given to the person who locates the trans-border tunnel used by Anti National Elements (ANEs) to tranship terrorists, explosives and contraband consignments”, police said. It said INR 300,000 would be given to those who sights a drone flown from across the border to drop narcotics or explosive material and which leads to the recovery of the said dropped material. Similar cash reward would be given to those whoever gave actionable intelligence about a person connected with receiving from deliveries and or transporting arms ammunition, narcotics from border, Line of Control to hinterland or Punjab and the said intelligence get corroborated during further action. Police has also announced INR 200,000 reward for those who will provide information about the persons talking to Pakistan based terrorist handlers or separatists in jails. INR 100,000 to those persons who will provide information about the persons who are inciting people to join terrorist ranks in masjids, madrassas, schools or colleges. Whosoever provides specific information about the presence of terrorists, resulting in successful operation leading to arrest or combat, a cash reward will be provided as per category in A, B, C ranging from INR 200,000 to INR 1.25 million accordingly.
Read less..."
Jan-2024,January - 1,"National Investigative Agency (NIA) in its year-end review at the end of 2023 declared a conviction rate of 94.7 per cent, wionews.com reports on January 1. The agency also made breakthrough in identifying 43 suspects linked to acts of vandalism agai
Read more... National Investigative Agency (NIA) in its year-end review at the end of 2023 declared a conviction rate of 94.7 per cent, wionews.com reports on January 1. The agency also made breakthrough in identifying 43 suspects linked to acts of vandalism against Indian high commissions in the UK, US, and Canada. NIA attributed success to the approach to crowd-sourcing information. The agency reported conducting over 50 raids and searches and said that it examined 80 individuals in India suspected of involvement in the conspiracy behind these overseas attacks. In total, more than 1,000 raids were conducted. With 625 arrests and the attachment of 240 assets valued at approximately INR 56 crore (about USD 7million), the NIA continued to combat acts of terrorism, gang activities, narco smuggling, human trafficking, and other criminal enterprises that pose threats to national interests. The NIA's operations saw a 28 per cent rise in arrests, reaching 625 compared to 490 in the previous year.
Read less..."
Jan-2024,January - 1,"On January 1, a court declared 23 terrorists from Kishtwar District of Jammu and Kashmir, who are operating from Pakistan and Pakistan-occupied Jammu Kashmir (PoJK) as proclaimed offenders and process to attach their properties will be set in motion
Read more... On January 1, a court declared 23 terrorists from Kishtwar District of Jammu and Kashmir, who are operating from Pakistan and Pakistan-occupied Jammu Kashmir (PoJK) as proclaimed offenders and process to attach their properties will be set in motion if they don’t surrender before the court within 30 days, reports Daily Excelsior. With this, total number of Kishtwar terrorists operating from Pakistan and PoJK who have been declared as proclaimed offenders, has gone up to 36.
Read less..."
Jan-2024,January - 1,"On January 1, a six-month-old girl child was killed, her mother sustained a bullet injury on her hand, and two District Reserve Guards (DRG) jawans (personnel) were injured in the exchange of fire between the Communist Party of India-Maoist (CPI-Maoi
Read more... On January 1, a six-month-old girl child was killed, her mother sustained a bullet injury on her hand, and two District Reserve Guards (DRG) jawans (personnel) were injured in the exchange of fire between the Communist Party of India-Maoist (CPI-Maoist) and DRG jawans in the forests of Bijapur District of Chhattisgarh, reports The Indian Express. A joint operation of area domination exercise was undertaken by DRG and the Central Police Reserve Force (CRPF).
Read less..."
Jan-2024,January - 1,"On January 1, Gangster Goldy Brar was declared a terrorist under the Unlawful Activities (Prevention) Act (UAPA) by the central government, reports India Today. A notice issued by the Union Ministry of Home Affairs (UMHA) said Goldy Brar is associate
Read more... On January 1, Gangster Goldy Brar was declared a terrorist under the Unlawful Activities (Prevention) Act (UAPA) by the central government, reports India Today. A notice issued by the Union Ministry of Home Affairs (UMHA) said Goldy Brar is associated with Babbar Khalsa International (BKI). The UMHA said Goldy Brar is ""backed by cross-border agencies and was involved in multiple killings and professes radical ideology, figured in making threatening calls to pro-nationalist leaders, demanding ransom and posting the claims of killings on different social media platforms"". A member of the Lawrence Bishnoi Gang, the Canada-based terrorist had claimed responsibility for the murder of Punjabi singer Sidhu Moose Wala in 2022. Moose Wala was shot dead in Punjab's Mansa District in May 2022. Later, police named Brar as the mastermind behind the murder.
Read less..."
Jan-2024,January - 1,"On January 1, the Border Security Force (BSF) recovered a packet containing around 480 grams of Heroin, wrapped in a yellow adhesive tape, on the outskirts of Village L S Wala in Ferozpur District of Punjab, reports ANI.
Read more... On January 1, the Border Security Force (BSF) recovered a packet containing around 480 grams of Heroin, wrapped in a yellow adhesive tape, on the outskirts of Village L S Wala in Ferozpur District of Punjab, reports ANI.
Read less..."
Jan-2024,January - 1,"On January 1, two bombs were being hurled at security personnel by armed miscreants near Chawangphai Village in Tengnoupal District of Manipur, reports Northeast Now. No casualty was reported.
Read more... On January 1, two bombs were being hurled at security personnel by armed miscreants near Chawangphai Village in Tengnoupal District of Manipur, reports Northeast Now. No casualty was reported.
Read less..."
Jan-2024,January - 1,"On January 1, unidentified gunmen shot dead four civilians and injured fourteen others in Lilong in Thoubal District of Manipur, reports The Hindu. As per reports, the armed miscreants came wearing Police uniforms in four vehicles and opened fire on
Read more... On January 1, unidentified gunmen shot dead four civilians and injured fourteen others in Lilong in Thoubal District of Manipur, reports The Hindu. As per reports, the armed miscreants came wearing Police uniforms in four vehicles and opened fire on people, adds India TodayNE. Lilong is a Meitei Pangal (Meitei Muslim)-dominated locality. This was the first incident of violence not involving tribal communities since ethnic clashes broke out in Manipur on May 3, 2023. Soon after the killings, the local authorities reimposed curfew in Thoubal and the adjoining Imphal East and Imphal West Districts. The relaxation of curfew in two other Imphal Valley districts – Kakching and Bishnupur – was shortened.
Read less..."
Jan-2024,January - 1,"Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun has called for India’s “economic destruction” by targeting the Bombay Stock Exchange (BSE) and the National Stock Exchange (NSE) from March 12, reports The Week on January 1. The day coincides wit
Read more... Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun has called for India’s “economic destruction” by targeting the Bombay Stock Exchange (BSE) and the National Stock Exchange (NSE) from March 12, reports The Week on January 1. The day coincides with the 31st anniversary of the serial blasts in Mumbai in 1993. ""Unlike 1993 which damaged the BSE buildings, the call to target BSE/NSE from 12th March is aimed at destroying India's economic system,"" Pannun said in a video statement.
Read less..."
Jan-2024,January - 2,"On January 2, at least eight Security Force (SF) personnel sustained injuries in an attack by Kuki militants at Moreh in Tegnoupal District of Manipur, reports The Sangai Express. Of the eight injured, five are special commando personnel while the re
Read more... On January 2, at least eight Security Force (SF) personnel sustained injuries in an attack by Kuki militants at Moreh in Tegnoupal District of Manipur, reports The Sangai Express. Of the eight injured, five are special commando personnel while the remaining three are from Border Security Force (BSF). Five of the injured personnel have been identified as Maibam Thoiba, Chabungbam Herojit, Kamei Gaihemlung, Mangsatabam Premkumar and Maibam Dayandi.
Read less..."
Jan-2024,January - 2,"On January 2, the Jammu and Kashmir State Investigation Agency (SIA) arrested a Head Constable (HC) of police, Saif-ud-Di, posted in Kupwara District, for his involvement in narco-terror financing case, reports Daily Excelsior. After arrest, the Agen
Read more... On January 2, the Jammu and Kashmir State Investigation Agency (SIA) arrested a Head Constable (HC) of police, Saif-ud-Di, posted in Kupwara District, for his involvement in narco-terror financing case, reports Daily Excelsior. After arrest, the Agency conducted raid at his house at Belicharana in Satwari area in search of more evidence.
Read less..."
Jan-2024,January - 2,"On January 2, the Manipur government extended the suspension of mobile internet services in two kilometres stretch along the borders of nine districts, including Chandel, Kakching, Churachandpur, Bishnupur, Kangpokpi, Imphal West, Thoubal, Tengnoupal
Read more... On January 2, the Manipur government extended the suspension of mobile internet services in two kilometres stretch along the borders of nine districts, including Chandel, Kakching, Churachandpur, Bishnupur, Kangpokpi, Imphal West, Thoubal, Tengnoupal, and Imphal East, for another 15 days, reports The Sentinel.
Read less..."
Jan-2024,January - 2,"Union Home Minister (UHM) Amit Shah on January 2 approved ‘J&K Security Model’, reports Daily Excelsior. After the high-level security review meeting in New Delhi on Jammu and Kashmir with special focus on Rajouri and Poonch districts of Jammu and Ka
Read more... Union Home Minister (UHM) Amit Shah on January 2 approved ‘J&K Security Model’, reports Daily Excelsior. After the high-level security review meeting in New Delhi on Jammu and Kashmir with special focus on Rajouri and Poonch districts of Jammu and Kashmir which witnessed surge in terror attacks in 2023 with killing of 19 soldiers in four incidents, Shah approved ‘Jammu & Kashmir Security Model’ aimed at eliminating terrorism in all forms and in all places and directed all security and Intelligence agencies to unitedly fight the menace vigorously. The ‘Model’ include elimination of terrorism, intensifying search and combing operations in all vulnerable areas of Rajouri and Poonch to finish of 30-odd terrorists hiding there, ensuring that there is no local support to the militants, identification and arrest of Over Ground Workers (OGWs), strengthening Intelligence network for speedy info on terror hideouts, complete coordination among all security agencies for quick action, strengthening vigil on the borders with Pakistan to ensure zero infiltration despite foggy weather conditions, acting tough on those promoting terror using Social Media, mobilization of Village Defence Groups (VDGs), attachment of properties of militants, OGWs and others supporting militancy to maintain pressure on them and keeping local people with them with pro-people welfare measures and schemes besides other issues, the officials said.
Read less..."
